id,scientific_name,GBIF_ID,rank
abelmoschusesculentus,Abelmoschus esculentus,3152707,SPECIES
abildgaardiawallichianalye,Abildgaardia wallichiana Lye,,
abrusprecatorius,Abrus precatorius,10594944,SPECIES
abutilonglaucum,Abutilon glaucum,3938698,
acaciasenegal,Acacia senegal,164011701,
acaciaseyal,Acacia seyal,147315125,
acaciatortilis,Acacia tortilis,8731919,SPECIES
acanthacrisruficorniscitrina,Acanthacris ruficornis citrina,6255369,SUBSPECIES
acanthodactylusboskianus,Acanthodactylus boskianus,5226727,SPECIES
acanthospermumhispidum,Acanthospermum hispidum,3100375,SPECIES
accipiterbadius,Accipiter badius,2480610,SPECIES
achyranthesasperasicula,Achyranthes aspera sicula,103392948,
acinonyxjubatus,Acinonyx jubatus,2435270,SPECIES
acomysjohannis,Acomys johannis,4264828,SPECIES
acoryphaclara,Acorypha clara,1713834,SPECIES
acoryphaglaucopsis,Acorypha glaucopsis,1713853,SPECIES
acridocarpusmonodii,Acridocarpus monodii,3986305,SPECIES
acrotylusblondeli,Acrotylus blondeli,5099063,SPECIES
acrotylussp1wa,Acrotylus sp. 1WA,104903601,
actia,Actia,1463605,GENUS
actiniopterisradiata,Actiniopteris radiata,4205838,SPECIES
actophilornisafricanus,Actophilornis africanus,2481853,SPECIES
adansoniadigitata,Adansonia digitata,5406695,SPECIES
aeschynomeneindica,Aeschynomene indica,2949250,
aframomummelegueta,Aframomum melegueta,2758930,SPECIES
afrotrilepispilosa,Afrotrilepis pilosa,2730093,SPECIES
agamaboueti,Agama boueti,5226234,SPECIES
agamasankaranica,Agama sankaranica,5226249,SPECIES
agriusconvolvuli,Agrius convolvuli,1861644,SPECIES
aiolopussimulatrixsimulatrix,Aiolopus simulatrix simulatrix,6255629,SUBSPECIES
albiziachevalieri,Albizia chevalieri,2941365,
alestesbaremoze,Alestes baremoze,2356096,SPECIES
alestesdentex,Alestes dentex,2356077,SPECIES
alliumcepa,Allium cepa,2857697,SPECIES
alliumsativum,Allium sativum,2856681,SPECIES
allogymnopleurusaeneus,Allogymnopleurus aeneus,1093960,SPECIES
aloetenuifolia,Aloe tenuifolia,9410190,
alopochenaegyptiaca,Alopochen aegyptiaca,2498252,SPECIES
alternantheraachyranthes,Alternanthera achyranthes,3084949,
alysicarpusovalifolius,Alysicarpus ovalifolius,8230720,SPECIES
amadinafasciata,Amadina fasciata,2493707,SPECIES
amaranthusdubius,Amaranthus dubius,8279930,
amaranthusgraecizans,Amaranthus graecizans,5384373,
amaranthusspinosus,Amaranthus spinosus,5384401,SPECIES
amaranthusviridis,Amaranthus viridis,5384334,SPECIES
amietophrynuschanningi,Amietophrynus channingi,7358341,
amietophrynusxeros,Amietophrynus xeros,2422976,SPECIES
ammanniaauriculata,Ammannia auriculata,3188714,
ammodaucusleucotrichus,Ammodaucus leucotrichus,6026529,SPECIES
amorphophallusaphyllus,Amorphophallus aphyllus,2871689,SPECIES
amorphophallusbaumannii,Amorphophallus baumannii,2871404,SPECIES
ampelocissusafricana,Ampelocissus africana,7293841,SPECIES
anacardiumoccidentale,Anacardium occidentale,5421368,SPECIES
anacridiummelanorhodon,Anacridium melanorhodon,1702139,SPECIES
anasclypeata,Anas clypeata,2498089,SPECIES
andirainermis,Andira inermis,2952214,
androctonusamoreuxi,Androctonus amoreuxi,6894174,SPECIES
andropogonfastigiatus,Andropogon fastigiatus,4149337,
andropogongayanus,Andropogon gayanus,2706112,SPECIES
andropogongayanusbisquamulatus,Andropogon gayanus bisquamulatus,4932044,VARIETY
annonasenegalensis,Annona senegalensis,5407251,SPECIES
annonasquamosa,Annona squamosa,5407099,SPECIES
anogeissusleiocarpa,Anogeissus leiocarpa,3699245,
anoplocnemiscurvipes,Anoplocnemis curvipes,4388917,SPECIES
antidesmavenosum,Antidesma venosum,3076520,
apateterebrans,Apate terebrans,6005825,SPECIES
apismellifera,Apis mellifera,1341976,SPECIES
apusaffinis,Apus affinis,5228662,SPECIES
aquilarapax,Aquila rapax,2480514,SPECIES
arachishypogaea,Arachis hypogaea,5353770,SPECIES
archispirostreptus,Archispirostreptus,1025390,GENUS
ardeotisarabs,Ardeotis arabs,2474904,SPECIES
aristidaadscensionis,Aristida adscensionis,2706277,
aristidafuniculata,Aristida funiculata,4127452,SPECIES
aristidamutabilisnigritiana,Aristida mutabilis nigritiana,5946659,
aristidasieberiana,Aristida sieberiana,4123040,
aristidastipoides,Aristida stipoides,4122740,SPECIES
aristolochiaalbida,Aristolochia albida,3589280,SPECIES
